cluster_tag,num_food_categories,num_food_departments,num_food_families,avg_store_sales,min_store_sales,max_store_sales,avg_store_cost,min_store_cost,max_store_cost,unique_promotions,unique_houseowners,total_houseowners,min_avg_yearly_income,max_avg_yearly_income,min_children_at_home,max_children_at_home,min_avg_cars_at_home,max_avg_cars_at_home,min_SRP,max_SRP,avg_SRP,min_store_sqft,max_store_sqft,min_grocery_sqft,max_grocery_sqft,min_frozen_sqft,max_frozen_sqft,min_meat_sqft,max_meat_sqft,min_coffee_bar,max_coffee_bar,min_video_store,max_video_store,min_salad_bar,max_salad_bar,min_prepared_food,max_prepared_food,min_florist,max_florist,unique_media_types,min_cost,max_cost
0,45,22,3,6.512919600630584,0.52,19.9,2.6094417919075146,0.1705,9.016,38,2,19030,$10K - $30K,$90K - $110K,0,5,0,4,0.5,3.98,2.115161324224908,27694,30797,18670,22271,3561,6393,2374,4262,0,1,0,1,0,1,0,1,0,1,13,50.79,148.62
1,45,22,3,6.647974969224457,1.0,19.9,2.668402270551224,0.306,9.5305,39,2,14622,$10K - $30K,$90K - $110K,0,5,0,4,0.5,3.98,2.1177807413486525,33858,39696,22123,30351,4193,9184,2795,6122,0,1,0,0,0,1,0,1,0,1,13,51.12,149.08
2,45,22,3,6.502608679414402,0.51,22.92,2.5998522333432925,0.1632,9.7265,48,2,26776,$10K - $30K,$90K - $110K,0,5,0,4,0.5,3.98,2.1139501792650135,20319,24597,13305,17475,2452,5751,1635,3834,0,1,0,1,0,1,0,1,0,1,13,51.0,149.75
